,Zip Code,Total GF Rest,Total Number GF $,Total Number GF $$,Total Number GF $$$,Total Number GF $$$$,"Num of Households with income $200,000 or more",Median family income,"Percent of households with income over $200,000"
0,90006,26,7,15,2,0,155.0,32273.0,0.7959330389236932
1,90028,135,37,77,16,1,399.0,45905.0,2.4628109375964446
2,90032,7,3,4,0,0,268.0,45433.0,1.998657618017749
3,90033,7,2,5,0,0,102.0,31595.0,0.7744874715261959
4,90035,43,5,35,1,0,1922.0,98792.0,14.627092846270928
5,90038,43,12,22,5,4,284.0,36937.0,2.4786175597835567
6,90052,0,0,0,0,0,,,
7,90056,3,1,2,0,0,435.0,109595.0,13.039568345323739
8,90059,1,1,0,0,0,43.0,36358.0,0.41461768392633297
9,90067,28,2,18,5,1,542.0,175368.0,37.19972546328072
10,90083,0,0,0,0,0,,,
11,90211,28,5,12,8,2,599.0,122841.0,16.401971522453447
12,90222,0,0,0,0,0,74.0,40620.0,0.9516460905349794
13,90249,10,6,3,0,0,327.0,65099.0,3.7243735763097954
14,90254,49,11,32,4,0,2591.0,183097.0,28.172230075024466
15,90260,8,4,4,0,0,341.0,56970.0,3.2319211449151735
16,90263,1,0,0,1,0,,,
17,90270,0,0,0,0,0,29.0,37953.0,0.4449900260856223
18,90301,8,5,3,0,0,81.0,44067.0,0.6711965528670866
19,90304,3,1,2,0,0,74.0,38062.0,1.1299435028248588
20,90305,2,1,1,0,0,287.0,79759.0,4.954255135508372
21,90312,0,0,0,0,0,,,
22,90504,5,3,2,0,0,853.0,91753.0,7.423200765816727
23,90621,14,5,9,0,0,548.0,56808.0,5.427892234548335
24,90623,5,3,2,0,0,567.0,94280.0,11.317365269461078
25,90633,1,0,1,0,0,,,
26,90639,0,0,0,0,0,,,
27,90703,44,14,30,0,0,1917.0,102426.0,12.406963950553362
28,90713,11,5,5,0,0,483.0,101325.0,5.2329360780065
29,90732,6,2,4,0,0,984.0,107954.0,11.485934399439712
30,90742,4,1,2,1,0,40.0,76607.0,11.976047904191615
31,90744,2,2,0,0,0,259.0,41303.0,1.8004866180048662
32,90747,0,0,0,0,0,,,
33,90804,18,9,9,0,0,429.0,45148.0,2.9331327772460005
34,90822,0,0,0,0,0,,,
35,90846,2,1,1,0,0,,,
36,91066,1,0,0,1,0,,,
37,91101,71,18,45,5,1,634.0,76442.0,5.900418799441601
38,91103,31,7,20,2,0,860.0,66659.0,10.261305333492423
39,91105,69,9,51,7,0,1280.0,159139.0,23.336371923427528
40,91124,0,0,0,0,0,,,
41,91209,0,0,0,0,0,,,
42,91210,16,2,14,0,0,126.0,129083.0,38.888888888888886
43,91307,15,4,10,0,0,1325.0,109177.0,15.275536084851279
44,91316,30,4,24,0,0,1149.0,83287.0,9.342222944954877
45,91329,1,0,0,0,0,,,
46,91330,0,0,0,0,0,,,
47,91361,23,1,18,4,0,2049.0,137917.0,23.90898483080513
48,91403,56,13,40,2,0,1804.0,108651.0,15.887274328489651
49,91411,14,6,8,0,0,487.0,48106.0,5.069220360154055
50,91436,33,4,22,4,1,2112.0,169375.0,38.455935906773476
51,91602,36,4,31,1,0,1086.0,99412.0,11.449657353716395
52,91607,17,4,11,1,0,1287.0,80559.0,9.409270361163912
53,91737,4,2,2,0,0,1114.0,106849.0,13.583709303743449
54,91776,42,22,19,0,0,362.0,51586.0,3.1225739670490813
55,91803,9,6,3,0,0,404.0,66167.0,4.223290821660046
56,91905,0,0,0,0,0,0.0,51154.0,0.0
57,91913,6,3,3,0,0,549.0,90850.0,3.907195217422248
58,91915,16,6,10,0,0,706.0,102684.0,8.832728637557864
59,91934,1,0,1,0,0,,,
60,91978,1,1,0,0,0,177.0,71016.0,5.587121212121213
61,92008,98,22,70,3,0,1368.0,95567.0,12.145964663056025
62,92039,1,0,0,0,1,,,
63,92083,18,7,11,0,0,220.0,55758.0,2.027462906644549
64,92093,7,7,0,0,0,,,
65,92104,100,33,64,0,0,1080.0,63742.0,5.107107391119309
66,92136,0,0,0,0,0,,,
67,92163,0,0,0,0,0,,,
68,92173,1,0,1,0,0,35.0,37534.0,0.4404731940599043
69,92178,0,0,0,0,0,,,
70,92182,1,1,0,0,0,,,
71,92203,3,1,2,0,0,627.0,76113.0,5.912305516265912
72,92210,9,1,6,2,0,581.0,124469.0,21.866767030485512
73,92233,0,0,0,0,0,24.0,34525.0,2.414486921529175
74,92242,0,0,0,0,0,6.0,40227.0,0.851063829787234
75,92250,0,0,0,0,0,53.0,49000.0,2.0558572536850277
76,92251,0,0,0,0,0,288.0,86832.0,5.715419726136138
77,92268,0,0,0,0,0,5.0,43750.0,1.7543859649122806
78,92270,35,2,23,8,2,1438.0,94167.0,15.120925341745535
79,92284,15,5,9,0,0,206.0,52841.0,1.9750719079578136
80,92301,0,0,0,0,0,27.0,29951.0,0.3257722007722008
81,92316,0,0,0,0,0,81.0,54184.0,1.10746513535685
82,92317,5,1,4,0,0,,,
83,92328,0,0,0,0,0,0.0,53125.0,0.0
84,92333,2,0,2,0,0,18.0,35833.0,11.688311688311687
85,92342,1,0,1,0,0,0.0,73986.0,0.0
86,92350,0,0,0,0,0,,,
87,92364,0,0,0,0,0,,,
88,92373,40,12,28,0,0,1245.0,88192.0,9.325842696629213
89,92377,0,0,0,0,0,237.0,77274.0,4.4216417910447765
90,92385,1,0,1,0,0,,,
91,92391,1,0,1,0,0,16.0,51375.0,1.4801110083256246
92,92401,1,0,1,0,0,0.0,16469.0,0.0
93,92407,10,4,5,1,0,294.0,55436.0,1.86099506266616
94,92517,0,0,0,0,0,,,
95,92539,0,0,0,0,0,33.0,47679.0,2.2774327122153206
96,92544,1,0,1,0,0,456.0,52558.0,2.9755301794453506
97,92548,0,0,0,0,0,38.0,44163.0,1.7194570135746607
98,92549,17,3,12,1,0,0.0,67365.0,0.0
99,92585,0,0,0,0,0,154.0,63050.0,2.633829314178211
100,92619,0,0,0,0,0,,,
101,92652,0,0,0,0,0,,,
102,92673,20,9,11,0,0,3146.0,149936.0,30.818965517241377
103,92801,12,4,8,0,0,464.0,51313.0,2.5542221732907637
104,92832,54,17,35,2,0,291.0,62428.0,3.556587631385969
105,92860,21,15,5,0,0,777.0,101958.0,10.893032384690873
106,93003,55,19,32,0,0,1181.0,83405.0,6.168390264284969
