,ID,Name,Zipcode,Latitude,Longitude,Price,Rating,IsGlutenFree
0,9_9ky5mDi3Wtg2tUKsE2Sw,Five Guys,91329,34.2233676065985,-118.501753136516,NA,4.0,1.0
0,9_9ky5mDi3Wtg2tUKsE2Sw,Five Guys,91329,34.2233676065985,-118.501753136516,NA,4.0,0.0
0,uBhHXv1jFeWkWtnCDClTsw,Citrus Kitchen,91737,34.1390533,-117.5774805,$$,4.5,1.0
1,LFFCHro2VA4Q68C2ru2XAw,MOD Pizza,91737,34.137142,-117.575335,$,4.5,1.0
2,Ro92uIofBPna3G2PK5e-TQ,Trader Joe's,91737,34.13771,-117.57444,$$,4.5,1.0
3,KIKotYkYZTmuHfD9T815Jg,The Flame Broiler,91737,34.138206,-117.574325,$,3.5,1.0
0,uBhHXv1jFeWkWtnCDClTsw,Citrus Kitchen,91737,34.1390533,-117.5774805,$$,4.5,0.0
1,n1QIfKHWLj8yzm_5NWLfgQ,Double Play Bakery and Pizza,91737,34.139085,-117.5772,NA,4.5,0.0
2,ROlk2wYruh21dPtNjGQ8qw,Septembers Taproom & Eatery,91737,34.1393883600899,-117.575424526708,$$,4.0,0.0
3,wJy7-6F37wpaQ6O7gvIvgQ,Aloha Kona Hawaiian BBQ,91737,34.139377,-117.575209,$,4.5,0.0
4,W8paPf-3G9lEAzNOl8vGXw,Asian Wok,91737,34.1393079064963,-117.574663451233,$,4.0,0.0
5,260M7Tpos2oDCJ3Hq29jPQ,Tio's Mexican Food,91737,34.13899,-117.57638,$,3.5,0.0
6,VTMDHxCo6Nz41auK31eRAg,HK's Bar & Grill,91737,34.1339348767137,-117.593284100897,$$,4.0,0.0
7,njQREUpG8tS4T4eBL59aRw,Barboni's Pizza,91737,34.1334282805244,-117.591584376993,$$,4.0,0.0
8,LFFCHro2VA4Q68C2ru2XAw,MOD Pizza,91737,34.137142,-117.575335,$,4.5,0.0
9,AAR2NJ4fhyKHpsXD94MqaQ,El Perico Ranchero,91737,34.13285,-117.592298,$$,4.0,0.0
10,cDVaSxh6yBwgd1eBl_1ybg,Corky's Kitchen & Bakery,91737,34.1371921226202,-117.574251995931,$$,3.5,0.0
11,XEuhVm31Pbuipn9CLmyBkA,Bamboo Garden,91737,34.1337080958777,-117.59238737645,$,4.0,0.0
12,4aIL3ljDiyIWIB14XBIxJg,Stater Bros. Markets,91737,34.132747,-117.592684,$$,3.0,0.0
13,KIKotYkYZTmuHfD9T815Jg,The Flame Broiler,91737,34.138206,-117.574325,$,3.5,0.0
14,_G3eRPmElDGKUsBmbNL-7A,Domino's Pizza,91737,34.1395551,-117.5774939,$,2.0,0.0
15,dw8Q5o87ydHtJ6g3_bqo-Q,Del Taco,91737,34.13881,-117.57537,$,2.0,0.0
16,emqrdLHwzJzbG3ftPShCHQ,Jack in the Box,91737,34.137047614391,-117.576443346253,$,2.5,0.0
17,FxW5-WTMPLEWxwGbJD8BTw,Subway,91737,34.138207,-117.574315,$,3.5,0.0
18,4k9EO-GrXs7yiyEblbbbQg,Carl's Jr.,91737,34.1327760368586,-117.592452764511,$,1.5,0.0
0,p-4HoYL8fduOWfAQ5G6s5Q,Sakai Sushi,90623,33.8463787112156,-118.047317776148,$,4.0,1.0
1,yXNZiSDhU47hWfCreKHATw,Str8 up Tacos,90623,33.83935,-118.03756,$,5.0,1.0
2,kXkXPN7nuN-eMar6fMAELg,A'Roma Ristorante,90623,33.859638,-118.032775,$$,4.0,1.0
3,P7n7IwH40ykaBfrxxsV4bA,Panda Inn,90623,33.859732,-118.030876,$$,4.0,1.0
4,Hg9pr9rMkfwhxsEzYQa7JQ,The Habit Burger Grill,90623,33.858439,-118.030887,$,3.5,1.0
0,kXkXPN7nuN-eMar6fMAELg,A'Roma Ristorante,90623,33.859638,-118.032775,$$,4.0,0.0
1,YJBUMkwq4DAcVRk7rWkOnQ,Mhat Korean Restaurant,90623,33.8396042033836,-118.045426569879,$$,4.5,0.0
2,DpMJdTwuS6VbFYLjNEhBng,Hwang So Go Jip,90623,33.8464742,-118.0463311,$,3.5,0.0
3,yXNZiSDhU47hWfCreKHATw,Str8 up Tacos,90623,33.83935,-118.03756,$,5.0,0.0
4,McTwKWy7HaqOsRx9gYCzLQ,Bulgogi House,90623,33.85969,-118.03805,$$,3.5,0.0
5,1pLrKeAA6I-ExPqAe-or0Q,Soy Tofu,90623,33.847351,-118.046434,$$,4.5,0.0
6,1h0j47gNthOYjTsJDWJBUg,Show Sushi,90623,33.8594407680276,-118.03157757565,$$,4.5,0.0
7,JuaLbLB82q9uYEeeB0z1IQ,La Capilla Mexican Restaurant,90623,33.8465881347656,-118.046379089355,$$,3.5,0.0
8,F7shjz4rz_gLFEI7E3fiFg,Jangmo Jip,90623,33.8467636108398,-118.047737121582,$,4.0,0.0
9,P7n7IwH40ykaBfrxxsV4bA,Panda Inn,90623,33.859732,-118.030876,$$,4.0,0.0
10,w1KbQnV5qOVJRXooTrtUSA,Pho Crystal,90623,33.8464699,-118.0467529,$,4.0,0.0
11,p-4HoYL8fduOWfAQ5G6s5Q,Sakai Sushi,90623,33.8463787112156,-118.047317776148,$,4.0,0.0
12,z2Soppbc0FGLz_qmKWAYoA,Jongro Kimbap,90623,33.846985,-118.047774,$,4.0,0.0
13,8VzNetC6QTyR3Rjv75gzqg,Kyo-Dong,90623,33.8471891122253,-118.047106303275,$,3.0,0.0
14,epPLyK4rRMPTsm9Uy5587A,Ellen's Pinoy Grille,90623,33.8478465,-118.0287849,$,3.5,0.0
15,Hg9pr9rMkfwhxsEzYQa7JQ,The Habit Burger Grill,90623,33.858439,-118.030887,$,3.5,0.0
16,-7DwLFh0fv-s7xEEGtSwjw,Lee Mangu Noodles,90623,33.8470479351463,-118.046815954149,NA,3.0,0.0
17,J0tzSm22Ic9XFLcYKC4JyQ,Poke Mom Too,90623,33.84535,-118.03762,NA,4.5,0.0
18,MA7bv91jaXfTkxqAibUG1Q,Paesano's New York Pizza & Subs,90623,33.8585451,-118.0381342,$$,3.5,0.0
19,2jLhZgbc4XvLUtlqJXRs7A,Borracho Tacos,90623,33.838062,-118.0757298,$,4.5,0.0
20,ptR9yUxHpaaOrH6yjka-ag,Tokyo Grill,90623,33.86123,-118.02936,$,4.0,0.0
21,b-G3Z7L2Jucc1zho9LrM9A,Johnie's Jr Burgers,90623,33.84846,-118.0287549,$,4.0,0.0
22,IDS3neblyU4tBBCIAl26bw,Mags & Tilly Salsa,90623,33.842014,-118.04451,NA,5.0,0.0
23,gjyju37rZjapZbvN2qP87A,Flame Broiler,90623,33.859317,-118.032234,$,3.5,0.0
24,QrmSWJHXq2JZV4oUuCJHQg,Jimmy John's,90623,33.8598494871925,-118.032406994884,$,3.5,0.0
25,3cCXyo0fxSEZOOVrtoEZbw,McDonald's,90623,33.858323,-118.045257171616,$,2.0,0.0
26,qM_LnZuL9FONQWzkAsNX_w,Cachi Cafe,90623,33.86123,-118.02936,$,4.5,0.0
27,gzjb5h6rj4v7wFxEQtFWlg,Carl's Jr,90623,33.846062,-118.045522,$,2.0,0.0
28,rIadf0t1FjDEC8147jKovA,Subway,90623,33.845369,-118.03772,$,2.5,0.0
29,Zby1dbKy20V726isNf289g,Yum Yum Donuts,90623,33.8585451,-118.0380282,$,3.0,0.0
30,90Y0yE2jORo3D13LTGfZeg,The Wok Experience,90623,33.84764,-118.028779,$,3.5,0.0
31,NzV28AyQ8tkD6EabuUs55A,Burger King,90623,33.85913,-118.0366,$,2.0,0.0
0,MukzkJdcLd4FLeotzpZtjg,Thai Tasty,91402,34.2215949,-118.460242,$,4.5,1.0
1,bBUuJjxjUk4XewsMzdW8ZQ,Vegatinos,91402,34.209403,-118.430788,$,4.5,1.0
2,NgblvyxSQLMuc7BSU3v_QQ,Corner Grille,91402,34.2210583,-118.468439,$,4.5,1.0
3,XQ2RD-Sp065-YF2B0uUpzQ,Denny's,91402,34.225178,-118.4486142,$,2.0,1.0
4,oczuDDUH1AA8I1BQfCIbtg,Togo’s Sandwiches,91402,34.2159101,-118.4486351,$,4.5,1.0
5,1NIBonUfs8C0HDHBugzMtw,BAMBU,91402,34.2206657144191,-118.432664318062,$,4.5,1.0
6,eNLMowKx7MOYNxR3TpopSw,Blaze Fast Fire'd Pizza,91402,34.2159821687263,-118.448352759193,$,4.0,1.0
7,n-5qOOKYEd0N5fTVHQx-hA,Wingstop,91402,34.234964946804,-118.448483354293,$$,2.0,1.0
8,RLto3TZQwXQLenj2u2wXJQ,Doctor Hogly Wogly's Tyler Texas BBQ,91402,34.21899,-118.46652,$$,3.5,1.0
9,DtFbM_YysP-3v5ykAFbDXQ,Coco's Bakery Restaurant,91402,34.222,-118.43171,$$,3.0,1.0
0,NgblvyxSQLMuc7BSU3v_QQ,Corner Grille,91402,34.2210583,-118.468439,$,4.5,0.0
1,vJT1Mh59q4t-_ad-sthvcw,HamburQueso,91402,34.2268109,-118.4495371,NA,5.0,0.0
2,TdlaiYxhAXRBX8JHPiqRhw,Bamboo Bistro,91402,34.225422,-118.448543,$$,4.0,0.0
3,hQBM1TcgmNTtSv9r34LMog,Ras Noodle,91402,34.219643,-118.432434,$,4.5,0.0
4,U81hd51sncUQ-tufA-MIrA,Goto at Silog,91402,34.2209672,-118.4518747,$,4.5,0.0
5,2mzGOpkZ5S_wpWPOH0UQGA,Toto's Seafood Grill,91402,34.2219,-118.44828,$,4.0,0.0
6,bBUuJjxjUk4XewsMzdW8ZQ,Vegatinos,91402,34.209403,-118.430788,$,4.5,0.0
7,RLto3TZQwXQLenj2u2wXJQ,Doctor Hogly Wogly's Tyler Texas BBQ,91402,34.21899,-118.46652,$$,3.5,0.0
8,G36457nY0YMnVzEH28xc2A,La Forcaccia,91402,34.2267151,-118.4494705,$$,4.5,0.0
9,9knJtrc-OnBJDn_LQYvBSw,Tango,91402,34.22696,-118.45232,NA,5.0,0.0
10,MukzkJdcLd4FLeotzpZtjg,Thai Tasty,91402,34.2215949,-118.460242,$,4.5,0.0
11,K_W8zqBLnCDu2ICGlrJOIw,Ocha Classic Restaurant,91402,34.23512,-118.4503849,$$,3.5,0.0
12,FACgWb3Isr5_md9GAxErgQ,Jollibee,91402,34.220966,-118.433328,$,3.0,0.0
13,G2CgMjGhgcddgARVAff4_A,Sakura Sushi,91402,34.220478,-118.4326996,$$,4.0,0.0
14,AhBaiqJStNsPWBX44-fUxQ,Thai BBQ,91402,34.2207597964258,-118.433211315414,$$,3.0,0.0
15,IMySv-nf-U4zmar5Rk1CgQ,Ono Hawaiian BBQ,91402,34.215818749992,-118.448311127722,$$,3.5,0.0
16,n-5qOOKYEd0N5fTVHQx-hA,Wingstop,91402,34.234964946804,-118.448483354293,$$,2.0,0.0
17,UnzLFocUOxRjX48rUDzNhw,D' new Aristocrat,91402,34.22129,-118.43314,$,4.5,0.0
18,eOB4jbscKjxFEkNz3IpmRg,Baan Thai,91402,34.221854207373,-118.428168048284,$,4.0,0.0
19,f4TDd-jJ5wuVD3pQsyW8NA,La Sirenita,91402,34.23595,-118.4501151,$$,3.5,0.0
20,2A40CWNmbAdZFAnuDCcx5g,WaBa Grill,91402,34.2352638,-118.4480896,$,3.5,0.0
21,eNLMowKx7MOYNxR3TpopSw,Blaze Fast Fire'd Pizza,91402,34.2159821687263,-118.448352759193,$,4.0,0.0
22,948C_BNJ0KIT_pYMQjxUdw,It's Juice Time,91402,34.2214419718809,-118.42922466458,$,4.5,0.0
23,ZPwCSUHWt8CLGUDxV6VtiA,The Original Khun Dang Thai Restaurant,91402,34.2199998283288,-118.467507362366,$$,4.0,0.0
24,Apd459nAQ1-Fvq-D78gzMw,Mami King Restaurant,91402,34.2220050421278,-118.428445011377,$,4.0,0.0
25,TVxKx_sWCYQGuZqb9aUo4w,Taqueria Jerez,91402,34.22733,-118.44967,$,4.0,0.0
26,dpgEB4MwruEZSwxvE3g6Xg,El Gallo Giro,91402,34.22193,-118.44921,$,3.0,0.0
27,XLjO4i5T2pRNRYtQxjWNkA,Isla Grill,91402,34.221534,-118.433024,$,3.5,0.0
