,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
0,90009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4.5,,
1,90038,43,12,22,5,4,0,0,0,0,1,0,7,22,13,0,2.0232558139534884,4.034883720930233,0.8860928708991231,0.41397246338732213,116,51,43,7,6,0,2,0,4,11,7,21,45,23,3,1.7009345794392523,3.711206896551724,0.826620230283373,0.7806097451434316
2,90052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1.75,,1.0606601717798212
3,90239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,5.0,,
4,90260,8,4,4,0,0,0,0,1,0,0,0,1,1,4,1,1.5,4.0,0.5345224838248488,1.1019463300386794,68,48,18,0,0,0,0,1,8,5,10,13,14,14,3,1.2727272727272727,3.5220588235294117,0.44877455520405923,0.8954021173260804
5,90302,4,0,4,0,0,0,0,0,0,0,0,1,2,1,0,2.0,4.0,0.0,0.408248290463863,38,18,14,1,0,0,1,3,4,2,3,8,11,3,3,1.4848484848484849,3.3684210526315788,0.5657523818560181,1.063422639318478
6,90303,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,2.0,3.0,0.0,0.7071067811865476,53,31,14,0,0,0,2,4,8,10,7,9,7,5,1,1.3111111111111111,2.9622641509433962,0.468179366473918,0.9992740470912524
7,90623,5,3,2,0,0,0,0,0,0,0,0,1,3,0,1,1.4,4.1,0.5477225575051661,0.5477225575051661,32,21,8,0,0,0,0,0,3,1,3,9,8,6,2,1.2758620689655173,3.6875,0.45485882614734197,0.8007053342260588
8,90723,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2.0,4.25,0.0,0.3535533905932738,96,53,34,0,0,0,2,3,12,17,15,14,19,12,2,1.3908045977011494,3.1979166666666665,0.4907593034595514,0.9444551942972668
9,91320,64,18,44,2,0,0,0,0,2,4,0,8,36,12,2,1.75,3.90625,0.5039526306789697,0.6099375455928332,148,58,82,2,0,0,2,0,12,10,14,20,62,26,2,1.6056338028169015,3.635135135135135,0.5185597413742105,0.8093723834451326
10,91329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,
11,91335,17,9,8,0,0,0,0,0,0,0,0,1,11,5,0,1.4705882352941178,4.117647058823529,0.5144957554275266,0.28114785726919356,133,80,36,0,0,0,1,1,9,16,14,21,38,23,10,1.3103448275862069,3.6203007518796992,0.46464185559742,0.8836699814612887
12,91402,10,7,3,0,0,0,0,0,2,0,1,1,1,5,0,1.3,3.7,0.48304589153964794,1.0327955589886446,131,79,23,0,0,0,4,6,13,13,17,25,29,15,9,1.2254901960784315,3.3473282442748094,0.41996847465602866,1.0188476329261413
13,91605,12,7,5,0,0,0,0,0,0,0,0,3,6,3,0,1.4166666666666667,4.0,0.5149286505444373,0.3692744729379982,105,59,29,0,0,0,2,6,5,11,9,18,23,20,11,1.3295454545454546,3.5761904761904764,0.47274184126735413,1.0325960385138904
14,91737,4,2,2,0,0,0,0,0,0,0,0,1,0,3,0,1.5,4.25,0.5773502691896257,0.5,19,11,7,0,0,0,0,1,2,1,1,4,6,4,0,1.3888888888888888,3.526315789473684,0.5016313257045503,0.9200495791370025
