,ID,Name,Zipcode,Latitude,Longitude,Price,Rating,IsGlutenFree
0,Pw1-_aGws_Hc6-_u8clsHQ,The Nest,92210,33.72136,-116.35884,$$,4.0,1.0
1,A-M0cPJnjjzzeGBecScPKw,Eureka!,92210,33.7209197121529,-116.356820628836,$$,4.0,1.0
2,1ZKbcWcvThf2E-Fb8pqEvw,Vue Grille & Bar,92210,33.724492,-116.329666,$$,4.5,1.0
3,3RbkcqU38_WvWDUVvKjwPQ,Hyatt Regency Indian Wells Resort & Spa,92210,33.7245181289575,-116.331202983857,$$$,4.0,1.0
4,PNgbVkNt6JEUh5IZLDWUUA,Cafe Italia,92210,33.7203864044654,-116.358900866409,$$,4.0,1.0
5,_1U-q57ynpsvQzSe5hYjOw,Renaissance Indian Wells Resort & Spa,92210,33.7231442581888,-116.325730862918,$$$,3.5,1.0
6,SA-vlg3TkrOd4PoDyygdeA,"SPC, Sirocco Pizza Company",92210,33.722611,-116.326392,$$,3.5,1.0
7,ykdZx15I-yJ-wrCSCqvPNA,CAVA,92210,33.7230848032987,-116.32664299577,$$,3.0,1.0
8,Qgr-WaOdmrcfxDV2N-6xuQ,IW Coffee,92210,33.7209489931216,-116.356709785759,$,4.0,1.0
0,1ZKbcWcvThf2E-Fb8pqEvw,Vue Grille & Bar,92210,33.724492,-116.329666,$$,4.5,0.0
1,Pw1-_aGws_Hc6-_u8clsHQ,The Nest,92210,33.72136,-116.35884,$$,4.0,0.0
2,A-M0cPJnjjzzeGBecScPKw,Eureka!,92210,33.7209197121529,-116.356820628836,$$,4.0,0.0
3,iaX-iClJWSUbmrubui1l6w,The Pink Cabana,92210,33.722087,-116.352622,$$$,4.0,0.0
4,FghKMoTs45PIgitOcr4PzQ,Vicky's of Santa Fe,92210,33.7211529,-116.326391,$$,3.5,0.0
5,2yll2JnUOrZ2tCi0R4xC3A,Nobu,92210,33.7244350134439,-116.303669401378,$$$$,2.0,0.0
