,Zipcodes
0,30099
1,63006
2,73573
3,85019
4,46913
5,58046
6,38188
7,72917
8,48321
9,23966
10,93902
11,18070
12,67854
13,92836
14,66960
15,38015
16,54871
17,78141
18,41065
19,16115
20,50140
21,97378
22,77273
23,73001
24,42035
25,21545
26,54247
27,3444
28,33592
29,54928
30,49819
31,75110
32,49616
33,8677
34,25243
35,3246
36,72332
37,91334
38,85341
39,74421
40,3441
41,40751
42,52341
43,64022
44,12836
45,85551
46,81520
47,55361
48,43265
49,68976
50,79377
51,89047
52,99122
53,12475
54,52044
55,80328
56,73539
57,24313
58,73667
59,33269
60,93020
61,29741
62,27624
63,68325
64,6416
65,42241
66,15456
67,71661
68,31537
69,99732
70,81141
71,13812
72,95493
73,12249
74,6836
75,23889
76,58235
77,34489
78,46989
79,97108
80,93385
81,32211
82,28329
83,62988
84,73844
85,56434
86,7450
87,85334
88,95127
89,31040
90,35554
91,24855
92,4548
93,72434
94,98953
95,93386
96,71459
97,72636
98,1949
99,58801
100,77376
101,80932
102,35564
103,2322
104,44410
105,47454
106,20424
107,99738
108,42464
109,42458
110,62993
111,80928
112,62013
113,88421
114,58833
115,59244
116,10095
117,98222
118,16369
119,56003
120,7073
121,50671
122,17260
123,5842
124,27412
125,41542
126,8037
127,87511
128,52660
129,38485
130,76067
131,18037
132,39562
133,24533
134,15077
135,78338
136,75146
137,2127
138,33890
139,48371
140,49912
141,62767
142,56039
143,52075
144,62820
145,77592
146,2050
147,39739
148,6279
149,6090
150,21770
151,78604
152,61433
153,20686
154,72856
155,27102
156,38181
157,8902
158,32323
159,56666
160,57430
161,54893
162,5161
163,50174
164,36540
165,5821
166,20732
167,12790
168,76564
169,6041
170,20656
171,4939
172,86052
173,25504
174,89822
175,17549
176,52001
177,74010
178,1101
179,32858
180,65727
181,34230
182,58467
183,61635
184,20640
185,36750
186,30321
187,28383
188,57231
189,20522
