,Zip Codes
0,11364
1,92203
2,42035
3,75110
4,73539
5,32858
6,93385
7,71459
8,29741
9,12836
10,20686
11,06090
12,98222
13,06041
14,73573
15,25243
16,06416
17,43265
18,05161
19,92836
20,81601
21,81141
22,72434
23,52001
24,31537
25,62820
26,68325
27,79701
28,10095
29,74010
30,85334
31,93386
32,33592
33,95121
34,95493
35,72636
36,71661
37,27412
38,12836
39,97108
40,03444
41,05821
42,12790
43,21770
44,87511
45,62013
46,60443
47,19559
48,85551
49,93902
50,54817
51,20424
52,08677
53,20656
54,01101
55,34489
56,58467
57,30099
58,46913
59,85019
60,39739
61,35564
62,56434
63,12249
64,44410
65,73844
66,24313
67,02050
68,41542
69,99122
70,31040
71,73001
72,16369
73,54928
74,21545
75,11206
76,75146
77,86052
78,32323
79,50671
80,08037
81,15701
82,16115
83,34230
84,48371
85,32211
86,85341
87,50140
88,52044
89,08902
90,64022
91,62993
92,28329
93,48321
94,46989
95,56666
96,06836
97,93020
98,84401
99,52075
100,89706
101,24855
102,61635
103,17313
104,30321
105,81520
106,60639
107,61433
108,12475
109,92843
110,80932
111,38188
112,24533
113,20522
114,72332
115,68976
116,18037
117,42464
118,31328
119,72856
120,42241
121,03441
122,40206
123,99732
124,49912
125,57430
126,04548
127,17260
128,05842
129,38485
130,25504
131,73667
132,90210
133,20640
134,56039
135,98118
136,28383
137,62988
138,76067
139,99738
140,22192
141,01949
142,23518
143,42458
144,03246
145,18070
146,91206
147,78141
148,45238
149,62767
150,55361
151,95127
152,19044
153,02322
154,07073
155,47454
156,06279
157,63006
158,49819
159,58046
160,13812
161,80928
162,02127
163,52660
164,54893
165,36623
166,42783
167,45232
168,90680
169,56021
170,57010
171,05001
172,78772
173,85630
174,56430
175,33785
176,35207
177,93279
178,89032
179,83243
180,66030
181,86405
182,29260
183,58852
184,12585
185,28205
186,44902
187,67863
188,84334
189,02712
190,93765
191,23431
192,87560
193,61530
194,34140
195,67638
196,47467
197,67953
198,27341
199,26209
