,Unnamed: 0,ID,Name,Zipcode,Latitude,Longitude,Price,Rating,PriceNum
0,0,1txVrGkHxmx4dpeF60--wg,Silver Gulch Brewing & Bottling,99502,61.173853148510894,-149.982814638423,$$,3.0,2.0
1,1,itP59kI4e9smEs6LXJZsrQ,Humpy's Great Alaskan Alehouse,99502,61.1727538486443,-149.983786751976,$$,3.0,2.0
2,2,gBIvK58yPn-L_9yrpf66zA,Sushi On The Fly,99502,61.1736584,-149.98117659999997,$$,4.0,2.0
3,3,fhKgQ9TCVy28egaP32TTVg,AdoboGrill N Jeepney,99502,61.142295837402294,-149.950332641602,$$,3.5,2.0
4,4,kjUtoPOnTY6iHMmXJOrnDw,Pork and Pickle,99502,61.173859,-149.982322,$$,2.0,2.0
5,5,qjn7B8wyEa4kKzcE9b7PMQ,Burrito Azteca,99502,61.171954725519,-149.96813178062402,,5.0,
6,6,_OfSXrgLT-Srh0HYYUInBg,Norton Sound Seafood House,99502,61.173482602627296,-149.982125089163,$$,2.5,2.0
7,7,ApInQNvC8N0lmh6CFvR4QA,AlaskaDoghaus,99502,61.1729179032514,-149.983489403694,$$,2.0,2.0
8,8,p2E4JKJh2rnvtT2G4kfpwA,Grizzly Pizza and Wings,99502,61.17211703779329,-149.978140049897,$$,2.0,2.0
9,9,jQdmjEMF1MsjF90auywNXA,McDonald's,99502,61.174292,-149.982618,$,2.5,1.0
0,0,F1Vq297t5ZdYwqDlgvuT5w,Bobby & Shela's Cow Creek Cafe,97442,42.74913,-123.37167,,4.0,
0,0,LGlh5FGLaBbvHRI904VhHw,Chick-fil-A,20064,38.935199635503295,-76.99795919505999,$,3.0,1.0
1,1,iwhJEsanY1dUVSiCYO0p5w,The Pryz,20064,38.936887,-76.998694,$$,3.5,2.0
2,2,4slpuDoPIz04RZUctsSEIA,Subway,20064,38.932756700000006,-76.9975349,,2.0,
0,0,ul_l_vVJyEEcLNxyVN_NnA,The Vault Wine Bar,44875,40.881498,-82.6603681,$$,4.5,2.0
1,1,BqV3QHL7NRbuiEoEKzAOrQ,Ted & Ali's Corner Cafe,44875,40.886312,-82.661959,$,4.5,1.0
2,2,LcmoyDJTbP3X5rP1virFcQ,Paul's Drive In,44875,40.88217,-82.66301,$,4.0,1.0
3,3,grGxyH0xBaIMeq1Bitzsvw,Gionino's Pizzeria,44875,40.881450479626004,-82.6627461612225,,4.5,
4,4,tkHlHsGxR2M1znmM2Oy7qA,La Campesina,44875,40.872474670410206,-82.6477890014648,$$,4.0,2.0
5,5,y-F3Tt9r0dEeQn5kiep0nw,Jc Dari Bar,44875,40.8986778259277,-82.6616592407227,,4.5,
6,6,QOufvpJ4Pkt6xc1raGl8Fg,diner 39,44875,40.86848737005511,-82.6446454779719,,4.0,
7,7,GcTvWQ2zLHr7urWUNE25Kw,China House,44875,40.8663279020336,-82.641549718627,,5.0,
8,8,F6wHoUnFUQ8flbqICBlT4Q,Napoli's Pizza,44875,40.88123,-82.65961,,4.5,
9,9,Qcf4sYa8vLUn2SZ6wFVUUQ,KFC,44875,40.8815,-82.663,,5.0,
10,10,tqsjdPmgSbzT1O_aEI082A,Mama's Pizza,44875,40.87895,-82.65638,,3.5,
11,11,fM7td5Jh_XmI7Ygvq2AuXQ,Wendy's,44875,40.8695831298828,-82.64588928222659,$,1.0,1.0
12,12,VXeVVoSZQwBR8Ozw7-hD7g,Taco Bell,44875,40.87045,-82.64645,$,3.5,1.0
13,13,qlkEEfBMGJlR2vxSVcCREA,Domino's Pizza,44875,40.881240000000005,-82.65677,$$,5.0,2.0
14,14,Ou294t_Aiw7gj7F0wF-5Kg,East of Chicago Pizza,44875,40.870289899999996,-82.64584659999998,,4.5,
15,15,VVkEfDENilThk3_phNclvQ,Subway,44875,40.880829999999996,-82.65675,,4.0,
