,Zipcode,HasApiFailure,Count_GlutenFree,Count_Restaurant
0,90746,1,0,0
1,92210,0,9,20
2,90210,1,0,0
3,92605,0,0,0
4,90028,0,135,287
5,91110,0,0,0
6,90264,0,0,0
7,92401,0,1,20
8,92517,0,0,1
9,92084,1,0,0
10,92660,1,0,0
11,92037,1,0,0
12,92585,0,0,8
13,91436,0,33,70
14,91765,1,0,0
15,91046,0,0,0
16,91724,1,0,0
17,91358,0,0,0
18,91001,1,0,0
19,92704,1,0,0
20,92364,0,0,1
21,92036,1,0,0
22,93001,1,0,0
23,91126,0,0,0
24,90069,1,0,0
25,91767,1,0,0
26,92385,0,1,4
27,92061,1,0,0
28,92105,1,0,0
29,92391,0,1,2
30,91749,0,0,0
31,92163,0,0,1
32,92270,0,35,72
33,92616,0,0,0
34,92158,0,0,0
35,90263,0,1,2
36,90835,0,0,0
37,91602,0,36,58
38,90301,0,8,90
39,90846,0,2,3
40,93003,0,55,152
41,91031,0,0,0
42,91118,0,0,0
43,90067,0,28,80
44,90671,0,0,0
45,90270,0,0,60
46,92407,0,10,66
47,90277,1,0,0
48,91902,1,0,0
49,92373,0,40,100
