,ID,Name,Zipcode,Latitude,Longitude,Price,Rating,IsGlutenFree
0,U40mw6MEUSm7ZdvNRUJvgA,Poke Tiki,92673,33.45615,-117.60427,$$,4.5,1
1,n-ESPaELP1rz7AL7eY19cw,Hapa J's,92673,33.4166,-117.60211,$$,4.0,1
2,xY1wVAyXsUV2LvK-_z4t5Q,Inka Mama's,92673,33.4641699014557,-117.599844932556,$$,4.5,1
3,eiRaDDWUIcyvRXzMd772SQ,Miyako Sushi,92673,33.458961,-117.650489,$$,4.5,1
4,kZ6tS-dfUcYZjmVyZ1_CIQ,Cafe Hermosa,92673,33.456134,-117.604267,$$,4.0,1
5,OkM-9o2Pw0YCrQSp-HWDUg,Humphry's San Clemente,92673,33.44259864556,-117.61517576896,$,4.5,1
6,klTFPqkS4OCt-EUzYXJufQ,Board & Brew - San Clemente,92673,33.4561787557447,-117.604567407332,$,4.5,1
7,oxczK0-G_CpH7rL07CbWwQ,Full Moon Sushi,92673,33.458060176653,-117.650131062259,$,4.5,1
8,Uzr3ys8GmYGYH0cINtnLXw,Panera Bread,92673,33.4629878,-117.597633,$,3.0,1
9,lCmqXbPhN7r-2nT9ei-1-Q,TJ's Woodfire Pizza,92673,33.4592569,-117.6506067,$$,4.0,1
10,PWxrJ6-rGTeBkvJzkfszLQ,Thai Palace SC,92673,33.45713,-117.59956,$$,4.0,1
11,0qfEkzfzTMNFmOB04KTdoA,The Habit Burger Grill,92673,33.457949463276,-117.650895636625,$,3.5,1
12,SghZdeq3ExLMKPmOIgc33g,zpizza,92673,33.4571342468262,-117.599555969238,$,3.5,1
13,OnP4nJzuRfHmXN5HJ6XtWQ,Romano's,92673,33.456134,-117.604267,$$,3.5,1
14,xc8Hb5Ln1BNS51m5I1li1g,Sundried Tomato American Bistros & Catering,92673,33.46358,-117.59878,$$,4.0,1
15,wqqDrX5-7PEsxENTVD8Uuw,Rubio's Coastal Grill,92673,33.458153,-117.653054,$,3.5,1
16,RLc8NIDH8OdsW5FU9FfQKQ,Wahoo's Fish Tacos,92673,33.458938,-117.650863,$,4.0,1
17,hUmnYdu-ybREtJmyHtg_QQ,Smashburger,92673,33.442944,-117.614195,$,3.0,1
18,HRx-sOpMZBBLh7jDxtZdSA,Fratello's,92673,33.4585,-117.64972,$$,3.5,1
19,5YPLB_eBqBiNsqIGhxkf0Q,Ball Park Pizza,92673,33.46373,-117.59829,$$,4.0,1
0,X6gYc60m0cIWA2a8uAUzJg,Nalus Hawaiian Fish Grill,92673,33.4585287751776,-117.650280185044,$$,4.5,0
1,xY1wVAyXsUV2LvK-_z4t5Q,Inka Mama's,92673,33.4641699014557,-117.599844932556,$$,4.5,0
2,xc8Hb5Ln1BNS51m5I1li1g,Sundried Tomato American Bistros & Catering,92673,33.46358,-117.59878,$$,4.0,0
