
Month,gluten free near me: (San Diego CA),Wheat gluten: (San Diego CA),gluten free restaurants near me: (San Diego CA),Gluten: (San Diego CA),Celiac disease: (San Diego CA)
2004-01,0,0,0,10,10
2004-02,0,0,0,13,0
2004-03,0,0,0,16,7
2004-04,0,0,0,5,10
2004-05,0,4,0,6,9
2004-06,0,4,0,9,7
2004-07,0,0,0,9,9
2004-08,0,0,0,4,8
2004-09,0,0,0,4,0
2004-10,0,0,0,12,6
2004-11,0,0,0,4,4
2004-12,0,0,0,12,4
2005-01,0,4,0,4,4
2005-02,0,0,0,11,0
2005-03,0,3,0,10,5
2005-04,0,0,0,4,4
2005-05,0,0,0,9,6
2005-06,0,0,0,8,3
2005-07,0,3,0,8,11
2005-08,0,3,0,3,7
2005-09,0,0,0,4,8
2005-10,0,3,0,8,8
2005-11,0,3,0,11,8
2005-12,0,3,0,10,6
2006-01,0,2,0,7,11
2006-02,0,0,0,10,4
2006-03,0,0,0,16,7
2006-04,0,0,0,9,13
2006-05,0,2,0,9,10
2006-06,0,0,0,9,8
2006-07,0,2,0,6,9
2006-08,0,2,0,11,6
2006-09,0,4,0,10,9
2006-10,0,0,0,15,10
2006-11,0,3,0,9,6
2006-12,0,0,0,9,8
2007-01,0,3,0,10,9
2007-02,0,0,0,12,4
2007-03,0,2,0,16,10
2007-04,0,3,0,14,9
2007-05,0,1,0,19,9
2007-06,0,1,0,20,3
2007-07,0,1,0,14,4
2007-08,0,1,0,18,7
2007-09,0,0,0,20,6
2007-10,0,1,0,14,4
2007-11,0,1,0,20,7
2007-12,0,1,0,17,11
2008-01,0,2,0,20,14
2008-02,0,4,0,19,9
2008-03,0,1,0,20,7
2008-04,0,2,0,19,11
2008-05,0,2,0,20,8
2008-06,0,0,0,21,8
2008-07,0,1,0,13,7
2008-08,0,1,0,15,9
2008-09,0,2,0,20,11
2008-10,0,2,0,22,11
2008-11,0,1,0,17,10
2008-12,0,1,0,25,7
2009-01,0,3,0,27,8
2009-02,0,3,0,14,12
2009-03,0,1,0,21,7
2009-04,0,2,0,22,13
2009-05,0,1,0,27,13
2009-06,0,2,0,35,14
2009-07,0,2,0,33,10
2009-08,0,2,0,32,13
2009-09,0,1,0,25,10
2009-10,0,1,0,33,12
2009-11,0,3,0,40,12
2009-12,0,1,0,35,10
2010-01,0,4,0,45,6
2010-02,0,2,0,40,11
2010-03,0,1,0,37,15
2010-04,0,1,0,38,7
2010-05,0,1,0,40,12
2010-06,0,1,0,33,10
2010-07,0,1,0,47,13
2010-08,0,1,0,39,11
2010-09,0,0,0,42,14
2010-10,0,1,0,45,10
2010-11,0,3,0,50,10
2010-12,0,1,0,44,9
2011-01,0,1,0,45,10
2011-02,0,1,0,47,10
2011-03,0,2,0,51,11
2011-04,0,2,0,48,10
2011-05,0,2,0,49,11
2011-06,0,3,0,47,11
2011-07,0,1,0,44,8
2011-08,0,1,0,51,12
2011-09,0,3,0,49,15
2011-10,0,2,0,55,10
