,Population,"Households with household income $200,000 or more",Median family income,Households,Name,zipcode,"Percent of households with income over $200,000"
0,17423.0,146.0,82512.0,7190.0,ZCTA5 01001,01001,2.0305980528511824
1,29970.0,722.0,94489.0,9561.0,ZCTA5 01002,01002,7.551511348185336
2,11296.0,0.0,NA,26.0,ZCTA5 01003,01003,0.0
3,5228.0,89.0,99127.0,1840.0,ZCTA5 01005,01005,4.83695652173913
4,14888.0,350.0,92100.0,5611.0,ZCTA5 01007,01007,6.237747282124398
5,1194.0,24.0,72000.0,530.0,ZCTA5 01008,01008,4.528301886792453
6,237.0,0.0,57794.0,106.0,ZCTA5 01009,01009,0.0
7,3718.0,108.0,95161.0,1494.0,ZCTA5 01010,01010,7.228915662650602
8,1523.0,9.0,78056.0,552.0,ZCTA5 01011,01011,1.6304347826086956
9,528.0,14.0,69327.0,243.0,ZCTA5 01012,01012,5.761316872427984
10,22943.0,83.0,48772.0,9302.0,ZCTA5 01013,01013,0.8922812298430446
11,30629.0,241.0,70430.0,12482.0,ZCTA5 01020,01020,1.930780323666079
12,2528.0,0.0,53558.0,1204.0,ZCTA5 01022,01022,0.0
13,1018.0,4.0,53958.0,455.0,ZCTA5 01026,01026,0.8791208791208791
14,17872.0,254.0,74207.0,7883.0,ZCTA5 01027,01027,3.222123557021438
15,16063.0,506.0,101563.0,6063.0,ZCTA5 01028,01028,8.34570344713838
16,760.0,16.0,53750.0,325.0,ZCTA5 01029,01029,4.923076923076923
17,11278.0,235.0,83832.0,4431.0,ZCTA5 01030,01030,5.303543218235161
18,1192.0,23.0,60167.0,533.0,ZCTA5 01031,01031,4.315196998123827
19,590.0,3.0,80208.0,273.0,ZCTA5 01032,01032,1.098901098901099
20,6310.0,97.0,94083.0,2476.0,ZCTA5 01033,01033,3.917609046849758
21,2323.0,47.0,85602.0,862.0,ZCTA5 01034,01034,5.452436194895592
22,5338.0,183.0,93039.0,2291.0,ZCTA5 01035,01035,7.987778262767351
23,5190.0,186.0,87768.0,1907.0,ZCTA5 01036,01036,9.753539590980598
24,755.0,19.0,91953.0,252.0,ZCTA5 01037,01037,7.5396825396825395
25,2853.0,68.0,77708.0,1270.0,ZCTA5 01038,01038,5.354330708661418
26,1194.0,45.0,90819.0,547.0,ZCTA5 01039,01039,8.226691042047532
27,40280.0,240.0,45598.0,15005.0,ZCTA5 01040,01040,1.599466844385205
28,2343.0,12.0,81220.0,925.0,ZCTA5 01050,01050,1.2972972972972971
29,1697.0,42.0,82604.0,557.0,ZCTA5 01053,01053,7.5403949730700175
30,1972.0,106.0,99659.0,809.0,ZCTA5 01054,01054,13.102595797280594
31,21352.0,282.0,76472.0,8000.0,ZCTA5 01056,01056,3.5249999999999995
32,8773.0,134.0,86181.0,3476.0,ZCTA5 01057,01057,3.855005753739931
33,15407.0,398.0,86230.0,6433.0,ZCTA5 01060,01060,6.186849059536764
34,10867.0,316.0,96554.0,4374.0,ZCTA5 01062,01062,7.22450845907636
35,563.0,0.0,NA,0.0,ZCTA5 01063,01063,
36,12.0,0.0,NA,12.0,ZCTA5 01066,01066,0.0
37,1825.0,37.0,90268.0,647.0,ZCTA5 01068,01068,5.7187017001545595
38,8753.0,79.0,77353.0,3471.0,ZCTA5 01069,01069,2.2760011524056467
39,562.0,6.0,64250.0,259.0,ZCTA5 01070,01070,2.3166023166023164
40,1271.0,17.0,81071.0,511.0,ZCTA5 01071,01071,3.326810176125244
41,1542.0,20.0,94135.0,650.0,ZCTA5 01072,01072,3.076923076923077
42,6081.0,285.0,103616.0,2490.0,ZCTA5 01073,01073,11.44578313253012
43,228.0,0.0,NA,78.0,ZCTA5 01074,01074,0.0
44,17770.0,295.0,78077.0,6803.0,ZCTA5 01075,01075,4.3363222107893575
45,9650.0,299.0,92059.0,3634.0,ZCTA5 01077,01077,8.227848101265822
46,811.0,0.0,44208.0,354.0,ZCTA5 01079,01079,0.0
47,2452.0,16.0,47350.0,901.0,ZCTA5 01080,01080,1.7758046614872365
48,1823.0,13.0,62727.0,709.0,ZCTA5 01081,01081,1.8335684062059237
49,10612.0,154.0,71117.0,4377.0,ZCTA5 01082,01082,3.518391592414896
50,3148.0,14.0,NA,1136.0,ZCTA5 01083,01083,1.232394366197183
51,154.0,7.0,81667.0,71.0,ZCTA5 01084,01084,9.859154929577464
52,41479.0,716.0,80314.0,15389.0,ZCTA5 01085,01085,4.652673987913444
53,690.0,0.0,NA,0.0,ZCTA5 01086,01086,
54,433.0,0.0,55769.0,245.0,ZCTA5 01088,01088,0.0
55,28575.0,368.0,66864.0,11630.0,ZCTA5 01089,01089,3.1642304385210664
56,1191.0,43.0,77250.0,486.0,ZCTA5 01092,01092,8.847736625514404
57,289.0,19.0,119167.0,130.0,ZCTA5 01093,01093,14.615384615384617
58,347.0,14.0,93472.0,193.0,ZCTA5 01094,01094,7.253886010362693
59,14569.0,774.0,110618.0,5257.0,ZCTA5 01095,01095,14.72322617462431
60,2564.0,50.0,84476.0,1047.0,ZCTA5 01096,01096,4.775549188156638
61,78.0,0.0,NA,25.0,ZCTA5 01097,01097,0.0
62,1117.0,44.0,95156.0,537.0,ZCTA5 01098,01098,8.193668528864059
63,2430.0,25.0,15079.0,1406.0,ZCTA5 01103,01103,1.7780938833570414
64,23183.0,75.0,34409.0,8866.0,ZCTA5 01104,01104,0.8459282652831039
65,11576.0,43.0,17942.0,4822.0,ZCTA5 01105,01105,0.891746163417669
66,15983.0,1159.0,122404.0,5832.0,ZCTA5 01106,01106,19.87311385459534
67,11474.0,38.0,28880.0,3873.0,ZCTA5 01107,01107,0.9811515620965658
68,28449.0,185.0,37487.0,9776.0,ZCTA5 01108,01108,1.8923895253682488
69,30139.0,78.0,37463.0,9571.0,ZCTA5 01109,01109,0.8149618639640581
70,14293.0,81.0,62232.0,5531.0,ZCTA5 01118,01118,1.4644729705297415
71,13091.0,44.0,56250.0,4722.0,ZCTA5 01119,01119,0.9318085556967387
72,2695.0,24.0,92738.0,1071.0,ZCTA5 01128,01128,2.2408963585434174
73,7220.0,77.0,69385.0,2872.0,ZCTA5 01129,01129,2.681058495821727
74,9295.0,6.0,40177.0,3289.0,ZCTA5 01151,01151,0.18242626938279113
75,0.0,0.0,NA,0.0,ZCTA5 01199,01199,
76,45001.0,613.0,61736.0,19765.0,ZCTA5 01201,01201,3.101441942828232
77,8266.0,46.0,63394.0,3773.0,ZCTA5 01220,01220,1.2191889742910151
78,829.0,33.0,79737.0,370.0,ZCTA5 01222,01222,8.91891891891892
79,2247.0,55.0,80256.0,999.0,ZCTA5 01223,01223,5.505505505505505
80,176.0,0.0,NA,108.0,ZCTA5 01224,01224,0.0
81,3192.0,33.0,72652.0,1445.0,ZCTA5 01225,01225,2.283737024221453
82,6885.0,168.0,69065.0,2871.0,ZCTA5 01226,01226,5.851619644723093
83,102.0,0.0,NA,52.0,ZCTA5 01229,01229,0.0
84,8195.0,258.0,84658.0,3263.0,ZCTA5 01230,01230,7.906834201654919
85,2666.0,31.0,71806.0,1165.0,ZCTA5 01235,01235,2.6609442060085837
86,1422.0,36.0,86068.0,474.0,ZCTA5 01236,01236,7.59493670886076
87,2755.0,45.0,92417.0,958.0,ZCTA5 01237,01237,4.697286012526096
88,5950.0,212.0,77438.0,2434.0,ZCTA5 01238,01238,8.709942481511915
89,4592.0,227.0,106929.0,2326.0,ZCTA5 01240,01240,9.759243336199484
90,429.0,0.0,NA,156.0,ZCTA5 01242,01242,0.0
91,381.0,15.0,91667.0,183.0,ZCTA5 01243,01243,8.19672131147541
92,82.0,3.0,150114.0,56.0,ZCTA5 01244,01244,5.357142857142857
93,870.0,18.0,74028.0,412.0,ZCTA5 01245,01245,4.368932038834951
94,15725.0,113.0,54897.0,6874.0,ZCTA5 01247,01247,1.6438754727960432
95,734.0,22.0,82167.0,319.0,ZCTA5 01253,01253,6.896551724137931
96,985.0,101.0,115556.0,469.0,ZCTA5 01254,01254,21.535181236673772
97,869.0,21.0,79792.0,338.0,ZCTA5 01255,01255,6.21301775147929
98,764.0,9.0,64205.0,326.0,ZCTA5 01256,01256,2.7607361963190185
99,2164.0,49.0,78672.0,953.0,ZCTA5 01257,01257,5.141657922350472
100,359.0,8.0,95625.0,189.0,ZCTA5 01258,01258,4.232804232804233
101,556.0,32.0,115313.0,279.0,ZCTA5 01259,01259,11.469534050179211
102,545.0,9.0,NA,151.0,ZCTA5 01260,01260,5.960264900662252
103,1196.0,32.0,64167.0,564.0,ZCTA5 01262,01262,5.673758865248227
104,161.0,7.0,81250.0,65.0,ZCTA5 01264,01264,10.76923076923077
105,1380.0,86.0,96250.0,633.0,ZCTA5 01266,01266,13.58609794628752
106,7846.0,182.0,94293.0,2376.0,ZCTA5 01267,01267,7.65993265993266
107,814.0,23.0,91250.0,342.0,ZCTA5 01270,01270,6.725146198830409
108,17730.0,215.0,68225.0,7838.0,ZCTA5 01301,01301,2.7430466955856088
109,1468.0,42.0,92500.0,634.0,ZCTA5 01330,01330,6.624605678233439
110,13205.0,63.0,63636.0,5331.0,ZCTA5 01331,01331,1.1817670230725943
